,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
152,14.0,Sun,2021-11-28,20:45,Napoli,1.2,4–0,0.4,Lazio,36000.0,Stadio San Paolo,Daniele Orsato,Match Report,
153,,,,,,,,,,,,,,
154,15.0,Tue,2021-11-30,18:30,Atalanta,2.7,4–0,0.7,Venezia,8667.0,Stadio Atleti Azzurri d'Italia,Alberto Santoro,Match Report,
155,15.0,Tue,2021-11-30,18:30,Fiorentina,2.7,3–1,0.7,Sampdoria,17913.0,Stadio Artemio Franchi,Federico Dionisi,Match Report,
156,15.0,Tue,2021-11-30,20:45,Hellas Verona,1.8,0–0,0.6,Cagliari,12188.0,Stadio Marc'Antonio Bentegodi,Matteo Marcenaro,Match Report,
157,15.0,Tue,2021-11-30,20:45,Salernitana,0.3,0–2,2.2,Juventus,19500.0,Stadio Arechi,Francesco Fourneau,Match Report,
158,15.0,Wed,2021-12-01,18:30,Inter,2.8,2–0,0.4,Spezia,30076.0,Stadio Giuseppe Meazza,Davide Ghersini,Match Report,
159,15.0,Wed,2021-12-01,18:30,Bologna,0.2,1–0,0.9,Roma,15780.0,Stadio Renato Dall'Ara,Luca Pairetto,Match Report,
160,15.0,Wed,2021-12-01,20:45,Genoa,0.5,0–3,1.0,Milan,14000.0,Stadio Comunale Luigi Ferraris,Juan Sacchi,Match Report,
161,15.0,Wed,2021-12-01,20:45,Sassuolo,0.3,2–2,0.8,Napoli,8192.0,Stadio Città del Tricolore,Ivan Pezzuto,Match Report,
162,15.0,Thu,2021-12-02,18:30,Torino,0.9,2–2,0.9,Empoli,7002.0,Stadio Olimpico di Torino,Andrea Colombo,Match Report,
163,15.0,Thu,2021-12-02,20:45,Lazio,1.6,4–4,1.3,Udinese,7000.0,Stadio Olimpico,Marco Piccinini,Match Report,
164,,,,,,,,,,,,,,
165,16.0,Sat,2021-12-04,15:00,Milan,2.9,2–0,0.3,Salernitana,43609.0,Stadio Giuseppe Meazza,Antonio Giua,Match Report,
166,16.0,Sat,2021-12-04,18:00,Roma,0.7,0–3,1.5,Inter,51185.0,Stadio Olimpico,Marco Di Bello,Match Report,
167,16.0,Sat,2021-12-04,20:45,Napoli,1.2,2–3,1.6,Atalanta,30000.0,Stadio San Paolo,Maurizio Mariani,Match Report,
168,16.0,Sun,2021-12-05,12:30,Bologna,0.7,2–3,1.1,Fiorentina,18175.0,Stadio Renato Dall'Ara,Massimiliano Irrati,Match Report,
