,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
157,16.0,Wed,2021-12-15,20:30,Dortmund,1.8,3–0,0.6,Greuther Fürth,15000.0,Signal Iduna Park,Daniel Schlager,Match Report,
158,16.0,Wed,2021-12-15,20:30,Augsburg,1.4,1–1,2.4,RB Leipzig,,WWK Arena,Florian Badstübner,Match Report,
159,,,,,,,,,,,,,,
160,17.0,Fri,2021-12-17,20:30,Bayern Munich,3.2,4–0,1.2,Wolfsburg,,Allianz Arena,Tobias Welz,Match Report,
161,17.0,Sat,2021-12-18,15:30,Bochum,0.9,0–1,1.0,Union Berlin,13500.0,Vonovia Ruhrstadion,Tobias Reichel,Match Report,
162,17.0,Sat,2021-12-18,15:30,Greuther Fürth,0.1,0–0,1.2,Augsburg,,Sportpark Ronhof Thomas Sommer,Sascha Stegemann,Match Report,
163,17.0,Sat,2021-12-18,15:30,RB Leipzig,2.0,0–2,0.6,Arminia,,Red Bull Arena,Frank Willenborg,Match Report,
164,17.0,Sat,2021-12-18,15:30,Hoffenheim,2.3,1–1,1.6,M'Gladbach,750.0,PreZero Arena,Sven Jablonski,Match Report,
165,17.0,Sat,2021-12-18,15:30,Eint Frankfurt,2.0,1–0,0.8,Mainz 05,15000.0,Commerzbank-Arena,Felix Brych,Match Report,
166,17.0,Sat,2021-12-18,18:30,Hertha BSC,1.6,3–2,1.2,Dortmund,5000.0,Olympiastadion Berlin,Marco Fritz,Match Report,
167,17.0,Sun,2021-12-19,15:30,Freiburg,2.0,2–1,1.0,Leverkusen,750.0,Europa-Park Stadion,Benjamin Cortus,Match Report,
168,17.0,Sun,2021-12-19,17:30,Köln,1.1,1–0,0.4,Stuttgart,15000.0,RheinEnergieSTADION,Bastian Dankert,Match Report,
169,,,,,,,,,,,,,,
170,18.0,Fri,2022-01-07,20:30,Bayern Munich,1.7,1–2,1.1,M'Gladbach,,Allianz Arena,Daniel Siebert,Match Report,
171,18.0,Sat,2022-01-08,15:30,Freiburg,2.0,2–2,0.9,Arminia,,Europa-Park Stadion,Harm Osmers,Match Report,
172,18.0,Sat,2022-01-08,15:30,Leverkusen,1.8,2–2,2.4,Union Berlin,,BayArena,Matthias Jöllenbeck,Match Report,
173,18.0,Sat,2022-01-08,15:30,RB Leipzig,3.3,4–1,0.4,Mainz 05,,Red Bull Arena,Deniz Aytekin,Match Report,
174,18.0,Sat,2022-01-08,15:30,Hoffenheim,1.8,3–1,0.7,Augsburg,500.0,PreZero Arena,Benjamin Cortus,Match Report,
175,18.0,Sat,2022-01-08,15:30,Greuther Fürth,0.8,0–0,1.4,Stuttgart,,Sportpark Ronhof Thomas Sommer,Felix Brych,Match Report,
176,18.0,Sat,2022-01-08,18:30,Eint Frankfurt,1.2,2–3,2.4,Dortmund,250.0,Commerzbank-Arena,Robert Schröder,Match Report,
177,18.0,Sun,2022-01-09,15:30,Hertha BSC,1.0,1–3,1.7,Köln,3000.0,Olympiastadion Berlin,Tobias Stieler,Match Report,
178,18.0,Sun,2022-01-09,17:30,Bochum,0.8,1–0,0.4,Wolfsburg,,Vonovia Ruhrstadion,Daniel Schlager,Match Report,
179,,,,,,,,,,,,,,
180,19.0,Fri,2022-01-14,20:30,Dortmund,1.8,5–1,0.7,Freiburg,750.0,Signal Iduna Park,Florian Badstübner,Match Report,
181,19.0,Sat,2022-01-15,15:30,Stuttgart,1.1,0–2,1.3,RB Leipzig,500.0,Mercedes-Benz Arena,Daniel Schlager,Match Report,
182,19.0,Sat,2022-01-15,15:30,Union Berlin,1.6,2–1,1.3,Hoffenheim,3000.0,Stadion An der Alten Försterei,Martin Petersen,Match Report,
183,19.0,Sat,2022-01-15,15:30,Köln,1.2,0–4,3.4,Bayern Munich,1000.0,RheinEnergieSTADION,Tobias Welz,Match Report,
184,19.0,Sat,2022-01-15,15:30,Mainz 05,1.7,1–0,1.5,Bochum,1000.0,Opel Arena,Frank Willenborg,Match Report,
185,19.0,Sat,2022-01-15,15:30,Wolfsburg,1.2,0–0,0.2,Hertha BSC,500.0,Volkswagen Arena,Robert Hartmann,Match Report,
186,19.0,Sat,2022-01-15,18:30,M'Gladbach,1.5,1–2,4.4,Leverkusen,750.0,Stadion im Borussia-Park,Sascha Stegemann,Match Report,
187,19.0,Sun,2022-01-16,15:30,Augsburg,1.4,1–1,2.2,Eint Frankfurt,,WWK Arena,Sven Jablonski,Match Report,
188,19.0,Sun,2022-01-16,17:30,Arminia,0.8,2–2,0.4,Greuther Fürth,750.0,SchücoArena,Christian Dingert,Match Report,
189,,,,,,,,,,,,,,
190,20.0,Fri,2022-01-21,20:30,Eint Frankfurt,1.9,0–2,1.5,Arminia,1000.0,Commerzbank-Arena,Tobias Reichel,Match Report,
